BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"বেলা ফুরাবার আগে","আরিফ আজাদ","TK. 287","TK. 244"
"ফ্রিল্যান্সিং : ইন্টারনেট থেকে আয়","ফ্রিল্যান্সার নাসিম  ","TK. 250","TK. 213"
"কমিউনিকেশন হ্যাকস","আয়মান সাদিক","TK. 270","TK. 230"
"নীলস্বপ্ন","নিশো আল মামুন","TK. 280","TK. 238"
"লোকে কী বলবে?","আয়মান সাদিক","TK. 255","TK. 217"
"প্রোডাক্টিভ মুসলিম","মোহাম্মদ ফারিস ","TK. 365","TK. 256"
"অর্ধবৃত্ত","সাদাত হোসাইন ","TK. 590","TK. 502"
"বিহাইন্ড দ্য সিন ","সালমান মুক্তাদির ","TK. 280","TK. 238"
"ভাইরে আপুরে-২!!! (সিলেবাসের  বাইরে )","শাব্বির আহসান","TK. 290","TK. 247"
"নোমান-১","অন্তিক মাহমুদ","TK. 240","TK. 204"
"উড়ছে হাইজেনবার্গ","শামীর মোন্তাজিদ","TK. 335","TK. 285"
"সুখী বিবাহিত ব্যাচেলর   ","মৌরি মরিয়ম","TK. 800","TK. 680"
"Exclusive Grammar And Freehand Writing (Bangla-English)","ফরিদ আহমেদ","TK. 250","TK. 175"
"হৃদ স্পন্দন - ২য় খণ্ড","অধ্যাপক (ডাঃ) মোঃ তৌফিকুর রহমান (ফারুক)","TK. 100","TK. 70"
"মেঘেদের দিন","সাদাত হোসাইন ","TK. 225","TK. 191"
"না বলতে শিখুন ","ওয়াহিদ তুষার","TK. 300","TK. 225"
"স্মার্ট প্যারেন্টিং উইথ মুহাম্মাদ (সা.)","মাসুদ শরীফ","TK. 200","TK. 140"
"ইমোশনাল মার্কেটিং","মুনির হাসান","TK. 267","TK. 227"
"স্মার্ট ইংলিশ স্মার্ট ওয়ে টু লার্ন ইংলিশ (পার্ট-২)","ফরিদ আহমেদ","TK. 250","TK. 188"
"চল্ ","অন্তিক মাহমুদ","TK. 240","TK. 204"
"আমার সাইন্টিস মামা","মুহম্মদ জাফর ইকবাল","TK. 280","TK. 238"
"ইহুদী জাতির ইতিহাস","আব্দুল্লাহ ইবনে মাহমুদ ","TK. 600","TK. 510"
"প্রজেক্ট আকাশলীন","মুহম্মদ জাফর ইকবাল","TK. 380","TK. 323"
"নাতে রাসূল (সা.)","মোঃ মেহেবুব হক","TK. 225","TK. 191"
"ইউটিউব এভরিথিং","মোস্তাফিজুর রহমান","TK. 270","TK. 230"
"কোডিং ইন্টারভিউ : প্রস্তুতি, সমস্যা ও সমাধান","তামিম শাহরিয়ার সুবিন","TK. 280","TK. 238"
"নীল প্রজাপতি","মোঃ মেহেবুব হক","TK. 300","TK. 234"
"মোবাইল ফটোগ্রাফি","সাদমান সাদিক","TK. 270","TK. 230"
"যেরকম টুনটুনি সেরকম ছোটাচ্চু","মুহম্মদ জাফর ইকবাল","TK. 230","TK. 196"
"মরণোত্তম","সাদাত হোসাইন ","TK. 225","TK. 191"
"নিমিখ পানে ২","চমক হাসান","TK. 400","TK. 340"
"রহস্যময় ব্ল্যাক হোল","মুহম্মদ জাফর ইকবাল","TK. 200","TK. 176"
"শূন্য থেকে পাইথন মেশিন লার্নিং : হাতেকলমে সাইকিট-লার্ন  (দ্বিতীয় সংস্করণ)","রকিবুল হাসান","TK. 300","TK. 255"
"অতিপ্রাকৃতের সন্ধানে","আব্দুল্লাহ ইবনে মাহমুদ ","TK. 500","TK. 425"
"প্রাইমারি গণিত অলিম্পিয়াড","আমজাদ হোসেন মামুন","TK. 270","TK. 230"
"উইজার্ড রিবর্ন","হাসিবুল ইসলাম ফাহাদ","TK. 330","TK. 248"
"মেঘডুবি","কিঙ্কর আহ্‌সান","TK. 470","TK. 400"
"গুজরাট ফাইলস : এক ভয়ঙ্কর ষড়যন্ত্রের ময়নাতদন্ত","রানা আইয়ুব","TK. 300","TK. 225"
"মোবাইল অ্যাপে ক্যারিয়ার","জুবায়ের হোসেন","TK. 200","TK. 176"
"সাইমুম সিরিজ- ৬১ : ড্রাগন ভয়ংকর","আবুল আসাদ","TK. 70","TK. 63"
"দ্য ফ্রিল্যান্সার : লেগে থাকলে সাফল্য আসবেই","মো. আমিনুর রহমান ","TK. 200","TK. 176"
"আমি হতে চাই সিরিজ","ড. উম্মে বুশরা সুমনা","","TK. 510"
"মধ্যবিত্ত","রুহুল আমিন","TK. 185","TK. 163"
"বেসিক আলী  ১২","শাহরিয়ার","TK. 220","TK. 187"
"বেদনাকে বলেছি কেঁদো না","হেলাল হাফিজ","TK. 200","TK. 176"
"গতকাল","ইশতিয়াক আহমেদ","TK. 200","TK. 156"
"উদ্যোক্তা ও ১০১ বিজনেস আইডিয়া","আবদুল হাকিম নাহিদ","TK. 150","TK. 132"
"পূর্বপুরুষ","আশীফ এন্তাজ রবি","TK. 660","TK. 561"
"ইতিহাসের ধুলোকালি","পিনাকী ভট্টাচার্য","TK. 270","TK. 189"
"হৃদমোহিনী","রেশমী রফিক","TK. 499","TK. 424"
"সন্দেহ ","সাদিয়া খান সুবাসিনী","TK. 400","TK. 340"
"কুকিং স্টুডিও","উম্মি সেলিম","TK. 600","TK. 510"
"নিতুর মাহবুব ভাই","তৃধা আনিকা","TK. 430","TK. 366"
"কম্বিনেটরিকসে হাতেখড়ি -২য় খণ্ড","আহমেদ জাওয়াদ চৌধুরী","TK. 350","TK. 298"
"বিজ্ঞানীদের কাণ্ডকারখানা ৩","রাগিব হাসান","TK. 260","TK. 221"
"ইলুমিনাতি","আবদুল কাইয়্যুম আহমেদ","TK. 234","TK. 199"
"বস ম্যানেজমেন্ট","আবীর শওকত হায়াত","TK. 260","TK. 221"
"হাজার বছরের অব্যক্ত শয়তানের গল্প","কাজী ম্যাক","TK. 380","TK. 266"
"হামাস : ফিলিস্তিন মুক্তি আন্দোলনের ভেতর-বাহির","আলী আহমাদ মাবরুর","TK. 480","TK. 336"
"বিবিএ লাইফ","জোনাইদ আল হাবীব","TK. 200","TK. 176"
"রাখাল","লতিফুল ইসলাম শিবলী","TK. 300","TK. 255"
"ঘোর","আসিফ নজরুল ","TK. 250","TK. 213"
"গল্পগুলো অন্যরকম","আরিফ আজাদ","TK. 315","TK. 268"
"দ্য কিলিং অব ওসামা (ওসামা বীন লাদেনকে হত্যার অপকাশিত ঘটনা)","সিমর হার্শ","TK. 216","TK. 162"
"মানবতার দর্পণ","মোঃ মেহেবুব হক","TK. 200","TK. 156"
"বাবু - ১১","শাহরিয়ার","TK. 120","TK. 106"
"মিতু তিতুর সাবমেরিন","মুহম্মদ জাফর ইকবাল","TK. 135","TK. 119"
"কাসিদ","জয়দীপ দে ","TK. 500","TK. 425"
"প্রমাণ করো যে...","মুরসালিন হাবিব","TK. 380","TK. 323"
"সিক্রেটস অব জায়োনিজম : বিশ্বব্যাপী জায়োনিস্ট ষড়যন্ত্রের ভেতর-বাহির","হেনরি ফোর্ড","TK. 400","TK. 280"
"ওই চাঁদ তোমার আমার","তৃধা আনিকা","TK. 400","TK. 340"
"ছদ্মবেশ","সাদাত হোসাইন ","TK. 255","TK. 217"
"লাভটিক্স","তৃধা আনিকা","TK. 180","TK. 158"
"দ্য বিজনেস স্কুল (নেটওয়ার্ক মার্কেটিংয়ের বেস্টসেলার বই )","রবার্ট টি. কিয়োসাকি","TK. 300","TK. 255"
"দেহবণ্টনবিষয়ক দ্বিপক্ষীয় চুক্তি স্বাক্ষর","মারজুক রাসেল","TK. 200","TK. 176"
"সেদিন","লামইয়া চৌধুরী","TK. 500","TK. 425"
"প্রধানমন্ত্রী প্রতিদিন চা খেতে আসেন আমাদের বাসায়","সুমন্ত আসলাম","TK. 400","TK. 340"
"অলাতচক্র","এশরার লতিফ","TK. 296","TK. 252"
"ফিজিকস অব দ্য ইমপসিবল","মিশিও কাকু","TK. 600","TK. 510"
"পাকিস্তান: আমার ইতিহাস ","ইমরান খান","TK. 450","TK. 315"
"অ পদার্থবিজ্ঞান","রাতুল খান","TK. 267","TK. 227"
"হাতেকলমে পাইথন ডিপ লার্নিং","রকিবুল হাসান","TK. 700","TK. 595"
"ছোটদের ঈমান সিরিজ","সমর্পণ টিম","TK. 960","TK. 768"
"লার্ন লিডারশিপ (ফ্রম দ্য গ্লোবাল লিডারশিপ গুরু)","মোঃ মাছুম চৌধুরী","TK. 300","TK. 255"
